Date,AAPL,ABT,ACN,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMZN,AON,APD,BAC,BKNG,BLK,BRK-B,BSX,CAT,CB,CI,CME,COST,CRM,CSCO,CSX,CVX,DE,DHR,DUK,ELV,EOG,EQIX,ETN,FDX,GE,GILD,GOOGL,GS,HD,HON,HUM,IBM,INTU,ISRG,ITW,JNJ,JPM,KO,LIN,LOW,LRCX,MA,MCD,MDLZ,MDT,MO,MRK,MSFT,MU,NEE,NFLX,NOC,NVDA,ORCL,PEP,PG,PGR,PLD,QCOM,REGN,SCHW,SHW,SLB,SO,SPGI,SYK,T,TJX,TMO,TXN,UNH,UNP,USB,VRTX,WFC,WM,WMT,XOM
2007-01-03,2.5064260959625244,14.96794319152832,25.496654510498047,39.91999816894531,20.71248435974121,23.758548736572266,13.504947662353516,19.520000457763672,45.918243408203125,1.934999942779541,28.59975814819336,41.03886795043945,35.84571075439453,1.7222164869308472,96.43376159667969,72.86000061035156,16.90999984741211,37.37003707885742,40.73297119140625,39.328651428222656,51.39739227294922,36.09352493286133,8.86414623260498,17.779516220092773,2.747687339782715,33.06957244873047,32.266502380371094,14.318841934204102,23.831117630004883,61.84358596801758,20.641489028930664,55.17616653442383,22.723798751831055,71.4208984375,115.09827423095703,10.835240364074707,11.598604202270508,145.97547912597656,24.996570587158203,27.32594108581543,48.795379638671875,49.8423957824707,25.786531448364258,10.497777938842773,28.65105438232422,37.63203430175781,29.259199142456055,13.417500495910645,41.32852554321289,22.580387115478516,4.196160793304443,8.72957992553711,25.61052131652832,14.21980094909668,33.42681121826172,6.089714527130127,21.28499984741211,20.988914489746094,13.681174278259277,7.764771938323975,0.3801429867744446,40.594974517822266,0.550650954246521,13.902840614318848,35.25654602050781,36.80323028564453,12.598798751831055,30.891666412353516,23.72127914428711,19.624805450439453,14.69647216796875,16.446016311645508,39.62236785888672,15.508277893066406,44.954002380371094,44.0068473815918,6.625266075134277,5.513851642608643,42.691810607910156,17.62653923034668,40.34742736816406,15.434723854064941,19.48723793029785,36.900001525878906,21.010305404663086,22.181381225585938,10.684001922607422,37.52440643310547
2007-01-04,2.5620594024658203,15.252202987670898,26.071352005004883,40.81999969482422,21.071996688842773,23.9990177154541,13.783553123474121,19.790000915527344,47.885196685791016,1.9450000524520874,28.92302131652832,40.13715362548828,36.074249267578125,1.7406253814697266,97.47200775146484,72.19999694824219,17.059999465942383,37.27229309082031,40.19976806640625,38.5855827331543,51.7708625793457,36.933692932128906,9.308950424194336,18.24756622314453,2.768251895904541,32.7480583190918,31.817781448364258,14.358808517456055,23.880908966064453,61.590511322021484,20.655105590820312,56.508365631103516,22.74496078491211,70.58162689208984,114.43138122558594,11.013677597045898,11.987298965454102,144.61550903320312,24.6922550201416,27.313831329345703,48.2117919921875,50.375301361083984,26.14504051208496,10.577777862548828,28.825876235961914,38.1024284362793,29.332231521606445,13.423029899597168,40.68558883666992,22.679061889648438,4.40486478805542,9.157866477966309,25.41788673400879,14.207828521728516,33.82741165161133,6.169963836669922,21.812053680419922,20.953758239746094,13.44714069366455,7.759137153625488,0.36214300990104675,39.89188003540039,0.5480569005012512,14.037816047668457,35.498260498046875,36.52381896972656,12.60920524597168,30.65900421142578,24.791465759277344,19.99134635925293,14.584906578063965,16.36297035217285,38.63215255737305,15.5166654586792,44.74626541137695,44.390071868896484,6.539961814880371,5.715787887573242,43.136016845703125,17.959810256958008,40.60838317871094,15.3212308883667,19.503408432006836,36.9900016784668,21.045583724975586,21.905832290649414,10.73568344116211,36.82059860229492
2007-01-05,2.5438146591186523,15.252202987670898,25.7069034576416,40.619998931884766,20.832324981689453,23.930307388305664,13.68824577331543,19.709999084472656,47.99934005737305,1.9184999465942383,28.753299713134766,39.57788848876953,35.785221099853516,1.7182997465133667,97.4471664428711,71.55999755859375,17.100000381469727,36.79568862915039,39.909542083740234,38.314048767089844,52.01359176635742,36.48287582397461,9.7119779586792,18.25398826599121,2.711304187774658,32.87389373779297,31.37250328063965,14.198931694030762,23.333078384399414,62.08088302612305,21.3288631439209,55.754425048828125,22.551528930664062,69.96348571777344,113.85541534423828,11.01711368560791,12.084782600402832,144.76092529296875,24.217525482177734,27.053298950195312,46.147422790527344,49.91924285888672,26.083829879760742,10.453332901000977,28.71973991394043,37.75672149658203,29.088777542114258,13.329123497009277,40.78235626220703,22.404205322265625,4.39892578125,9.150622367858887,25.41788673400879,14.048094749450684,33.92913055419922,6.134765148162842,21.420391082763672,20.834270477294922,13.242362976074219,7.656266212463379,0.3544290065765381,40.08850860595703,0.5137174129486084,14.006060600280762,35.38584518432617,36.21018981933594,12.35941219329834,30.00860023498535,24.50017547607422,20.60555076599121,14.279966354370117,16.080087661743164,38.56698989868164,15.281810760498047,44.766380310058594,44.573707580566406,6.437598705291748,5.592702865600586,42.54059600830078,17.749975204467773,40.332061767578125,15.130960464477539,19.271730422973633,35.810001373291016,20.928009033203125,21.552419662475586,10.648054122924805,37.083900451660156
2007-01-08,2.556375741958618,15.307215690612793,26.07835578918457,40.45000076293945,20.996305465698242,23.945039749145508,13.84953498840332,19.469999313354492,47.616668701171875,1.875,28.60784149169922,39.52653121948242,35.9263801574707,1.7139911651611328,99.24378204345703,71.72000122070312,17.809999465942383,36.83846664428711,39.92978286743164,38.38862228393555,52.5668830871582,36.633140563964844,9.812734603881836,18.356563568115234,2.7421505451202393,33.293235778808594,31.5278263092041,14.326837539672852,23.370424270629883,62.45262908935547,21.182538986206055,55.62266540527344,22.539451599121094,70.1717300415039,113.82506561279297,11.020545959472656,11.995238304138184,148.16458129882812,24.034929275512695,27.21687889099121,46.173553466796875,50.67759323120117,25.209413528442383,10.133333206176758,28.825876235961914,37.69438934326172,29.1861629486084,13.414742469787598,40.975921630859375,22.340770721435547,4.350566864013672,9.152432441711426,25.517126083374023,13.956254959106445,34.14531326293945,6.193192958831787,21.415555953979492,21.038114547729492,13.398384094238281,7.646401405334473,0.34042900800704956,40.320884704589844,0.5175331234931946,14.180742263793945,35.46452331542969,36.29001998901367,12.442678451538086,29.91871452331543,24.22788429260254,20.95227813720703,14.45846939086914,16.01261329650879,38.22171401977539,15.323759078979492,44.62567901611328,44.78126907348633,6.4991135597229,5.556163787841797,42.464969635009766,17.836381912231445,40.92305374145508,15.154333114624023,19.207088470458984,33.54999923706055,20.869226455688477,21.6063232421875,10.56042766571045,36.78515625
2007-01-09,2.7687339782714844,15.441709518432617,26.015270233154297,39.630001068115234,20.96476936340332,23.85179901123047,14.113476753234863,19.649999618530273,47.84493637084961,1.8890000581741333,28.446216583251953,39.440921783447266,35.95998001098633,1.7257415056228638,99.8716812133789,73.0,17.600000381469727,37.04010772705078,39.51807403564453,38.182735443115234,52.87055587768555,36.906368255615234,9.820106506347656,18.25398826599121,2.7097227573394775,32.9111328125,31.8419246673584,14.514692306518555,23.25836753845215,60.27755355834961,20.910320281982422,57.225685119628906,22.430646896362305,70.37989807128906,113.82506561279297,11.154375076293945,12.042862892150879,148.41903686523438,23.93146324157715,27.4107723236084,45.5115852355957,51.27716064453125,25.29684829711914,9.930000305175781,29.04441261291504,37.55269241333008,29.064416885375977,13.42579460144043,41.41148376464844,22.460586547851562,4.342085361480713,9.574381828308105,25.563823699951172,14.028131484985352,34.240692138671875,6.2030463218688965,21.21729850769043,21.0592041015625,13.330126762390137,7.653445243835449,0.34271401166915894,40.571136474609375,0.5074606537818909,14.148980140686035,35.61067199707031,36.19877624511719,12.229316711425781,30.288850784301758,23.9619140625,21.071155548095703,14.6890287399292,16.168325424194336,37.908992767333984,15.365686416625977,44.81328201293945,45.40401840209961,6.5241007804870605,5.629241466522217,43.66530227661133,17.79934310913086,40.43185043334961,15.162673950195312,19.19631004333496,33.869998931884766,20.922134399414062,21.37869644165039,10.648054122924805,36.501609802246094
2007-01-10,2.9012348651885986,15.49244499206543,26.16945457458496,39.220001220703125,21.330589294433594,23.719276428222656,14.326099395751953,20.010000228881836,47.690513610839844,1.8574999570846558,28.43004608154297,39.760498046875,36.01376724243164,1.756292700767517,102.51377868652344,73.0199966430664,17.829999923706055,36.85679244995117,39.51133728027344,38.415489196777344,54.381988525390625,37.16594696044922,9.886459350585938,18.38863182067871,2.6804592609405518,32.3426628112793,31.973085403442383,14.616607666015625,23.15876579284668,60.356624603271484,20.750383377075195,58.44809341430664,22.43971824645996,70.00253295898438,113.85541534423828,11.099472045898438,12.141090393066406,151.34994506835938,24.211442947387695,27.241119384765625,45.56385040283203,50.67249298095703,25.699087142944336,9.678889274597168,29.21919059753418,37.49034881591797,29.27745819091797,13.4451265335083,41.63271713256836,22.88344383239746,4.471036911010742,9.491913795471191,25.83818817138672,14.335609436035156,34.4696044921875,6.278366565704346,21.333351135253906,20.848329544067383,13.720179557800293,7.656266212463379,0.3438569903373718,40.91077423095703,0.5324896574020386,14.109278678894043,36.060367584228516,36.63216781616211,12.198090553283691,30.733036041259766,24.41151237487793,21.715078353881836,14.852651596069336,16.357776641845703,37.153297424316406,15.336336135864258,45.40962219238281,46.01878356933594,6.541407585144043,5.671554088592529,44.60096740722656,18.101755142211914,40.546974182128906,15.042512893676758,19.185527801513672,35.369998931884766,20.857460021972656,21.971723556518555,10.623332023620605,35.944644927978516
2007-01-11,2.8653435707092285,15.480146408081055,26.0643367767334,39.880001068115234,21.37473487854004,23.743820190429688,14.318769454956055,20.18000030517578,48.27457809448242,1.8700000047683716,28.446216583251953,40.46817398071289,35.79866409301758,1.748850703239441,104.45343780517578,73.4000015258789,18.040000915527344,36.66127014160156,39.99726104736328,38.96757507324219,54.7063102722168,37.78752899169922,10.257538795471191,18.395038604736328,2.7097227573394775,32.007171630859375,32.9637336730957,14.726521492004395,23.221019744873047,61.17131423950195,20.40329933166504,60.292667388916016,22.448776245117188,70.05458068847656,114.94669342041016,11.36541748046875,12.395590782165527,154.0916748046875,24.394020080566406,27.6955509185791,47.053306579589844,50.54951858520508,25.943918228149414,10.137778282165527,29.643753051757812,37.819068908691406,29.405284881591797,13.46169376373291,42.213443756103516,23.292192459106445,4.538909912109375,9.560790061950684,25.984148025512695,14.287690162658691,34.30427551269531,6.293149948120117,21.401044845581055,21.579360961914062,13.534903526306152,7.640764236450195,0.34628599882125854,41.232521057128906,0.5305052399635315,13.807558059692383,36.51008987426758,36.860252380371094,12.073198318481445,31.182506561279297,25.000429153442383,22.339191436767578,15.083213806152344,16.583553314208984,36.8210563659668,15.399239540100098,46.381195068359375,47.06465530395508,6.629825592041016,5.758100986480713,46.037593841552734,17.91660499572754,41.79033279418945,15.104262351989746,19.13165283203125,36.04999923706055,20.892728805541992,22.187368392944336,10.695237159729004,35.939579010009766
2007-01-12,2.830049514770508,15.510879516601562,26.618003845214844,39.959999084472656,21.40627098083496,23.900856018066406,14.296771049499512,18.260000228881836,49.18756103515625,1.909999966621399,28.80179214477539,40.71928024291992,35.879329681396484,1.7429753541946411,107.2385025024414,73.36000061035156,18.209999084472656,36.50239944458008,39.68680953979492,39.024269104003906,56.40940475463867,38.217857360839844,10.42464828491211,18.542503356933594,2.744523286819458,32.780670166015625,34.285743713378906,14.690550804138184,23.108959197998047,61.53514862060547,21.21397590637207,59.97058868408203,22.52131462097168,70.82884216308594,114.85570526123047,11.351694107055664,12.526562690734863,155.626220703125,24.41228675842285,27.60466766357422,47.48882293701172,50.90306091308594,26.486061096191406,10.44777774810791,29.687458038330078,37.76804733276367,29.21051025390625,13.409221649169922,42.56602478027344,23.299251556396484,4.627142906188965,9.538129806518555,25.814855575561523,14.295672416687012,34.15803527832031,6.224165916442871,21.657312393188477,21.93783187866211,13.876203536987305,7.588623523712158,0.3244290053844452,41.458946228027344,0.5376791954040527,13.894898414611816,36.36953353881836,37.06554412841797,12.177278518676758,31.325284957885742,25.089069366455078,22.52741241455078,15.135275840759277,16.567996978759766,37.713565826416016,15.202134132385254,45.490028381347656,46.92094421386719,6.675962448120117,5.758100986480713,45.72570037841797,17.935117721557617,42.2891960144043,15.347944259643555,19.153200149536133,37.79999923706055,20.875102996826172,22.103506088256836,10.78061580657959,36.790218353271484
2007-01-16,2.9042246341705322,15.560075759887695,26.001253128051758,40.04999923706055,21.299057006835938,23.85179901123047,14.28210735321045,18.1299991607666,49.341957092285156,1.9329999685287476,28.64824104309082,40.55376052856445,35.919647216796875,1.744933843612671,106.59194946289062,72.37999725341797,18.1200008392334,36.1968879699707,39.653076171875,39.021278381347656,55.991729736328125,38.41596221923828,10.640907287597656,17.978281021118164,2.8157081604003906,32.46382141113281,34.20635223388672,14.79647159576416,23.18365478515625,62.04921340942383,21.128822326660156,60.073089599609375,22.711711883544922,72.66366577148438,115.52259826660156,11.384292602539062,12.508702278137207,155.3352813720703,24.521839141845703,27.641014099121094,47.21010971069336,51.661441802978516,26.424848556518555,10.345556259155273,29.812341690063477,37.71138000488281,29.453977584838867,13.395401954650879,42.510719299316406,23.538860321044922,4.517699718475342,9.606100082397461,26.01917839050293,14.27970027923584,34.66035842895508,6.285403728485107,21.73468589782715,21.90269660949707,13.573907852172852,7.630899429321289,0.3248569965362549,41.58407211303711,0.5385948419570923,13.736103057861328,36.4538688659668,37.06554412841797,12.16686725616455,31.679569244384766,24.994096755981445,22.339191436767578,15.008838653564453,16.44083023071289,37.64841842651367,15.29439640045166,46.07966232299805,46.92094421386719,6.656739711761475,5.740791320800781,45.40433883666992,17.824033737182617,42.78806686401367,15.927078247070312,19.26095962524414,38.41999816894531,21.298368453979492,22.121477127075195,10.854766845703125,36.26870346069336
2007-01-17,2.839918613433838,15.849079132080078,26.295612335205078,40.20000076293945,20.95846176147461,24.043193817138672,14.223455429077148,18.200000762939453,49.630638122558594,1.8940000534057617,28.042150497436523,40.57088851928711,35.838993072509766,1.7245665788650513,107.66740417480469,72.41000366210938,18.200000762939453,36.606266021728516,39.61929702758789,39.25107955932617,57.195587158203125,38.71651077270508,10.481169700622559,17.29864501953125,2.7998886108398438,32.99968338012695,34.479026794433594,14.894390106201172,23.146305084228516,62.31026077270508,21.176509857177734,59.72904586791992,23.21943473815918,72.3839111328125,115.12848663330078,11.391156196594238,12.335065841674805,155.07345581054688,24.521839141845703,27.59255599975586,48.42953109741211,51.251522064208984,26.739641189575195,10.527777671813965,29.70619010925293,37.898414611816406,29.478330612182617,13.423029899597168,42.62135314941406,23.432992935180664,4.59235954284668,9.881593704223633,26.188474655151367,14.076041221618652,34.526824951171875,6.234724044799805,21.763700485229492,21.860515594482422,13.339877128601074,7.666126251220703,0.3261429965496063,41.542354583740234,0.5273002982139587,13.910776138305664,36.53817367553711,37.44944381713867,12.25533676147461,31.600244522094727,24.816791534423828,22.299564361572266,14.6444091796875,16.58616065979004,38.09793472290039,15.395042419433594,46.059574127197266,46.6973876953125,6.629825592041016,5.698479175567627,46.14155197143555,17.978322982788086,42.71133041381836,15.695076942443848,19.26634407043457,37.88999938964844,21.321882247924805,22.13944435119629,10.830049514770508,36.68894577026367
