Date,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMZN,AON,APD,AVGO,BAC,BKNG,BLK,BRK-B,BSX,CAT,CB,CI,CME,COST,CRM,CSCO,CSX,CVX,DE,DHR,DUK,ELV,EOG,EQIX,ETN,FDX,GE,GILD,GOOGL,GS,HD,HON,HUM,IBM,INTU,ISRG,ITW,JNJ,JPM,KO,LIN,LOW,LRCX,MA,MCD,MDLZ,MDT,META,MO,MRK,MSFT,MU,NEE,NFLX,NOC,NOW,NVDA,ORCL,PANW,PEP,PG,PGR,PLD,PM,PYPL,QCOM,REGN,SCHW,SHW,SLB,SO,SPGI,SYK,T,TJX,TMO,TSLA,TXN,UNH,UNP,USB,V,VRTX,WFC,WM,WMT,XOM,ZTS
2015-01-02,24.171754837036133,41.119232177734375,35.75420379638672,72.75342559814453,72.33999633789062,44.09525680541992,64.53569030761719,21.687288284301758,2.6700000762939453,114.76859283447266,15.425999641418457,84.68379211425781,101.60440063476562,7.532590389251709,14.050800323486328,44.7321891784668,268.2039794921875,149.1699981689453,13.220000267028809,68.89934539794922,92.72669219970703,92.87435913085938,56.179744720458984,113.63451385498047,58.23255157470703,19.530853271484375,10.0028076171875,68.30226135253906,72.26444244384766,34.86061477661133,52.00135040283203,106.31605529785156,65.82865905761719,172.41265869140625,51.78170394897461,117.40882873535156,102.30316162109375,65.13838195800781,26.244783401489258,154.87261962890625,78.78035736083984,74.17110443115234,130.138427734375,96.16409301757812,82.61649322509766,58.39666748046875,72.30016326904297,76.11090850830078,46.0667839050293,29.3902530670166,105.63487243652344,54.643394470214844,6.790658473968506,79.71467590332031,69.80445098876953,28.33792495727539,53.75709915161133,77.76707458496094,23.35740852355957,38.209571838378906,39.607173919677734,33.886016845703125,19.75250244140625,4.984857082366943,121.4669418334961,13.47599983215332,0.48242297768592834,37.22404861450195,20.23666763305664,66.58293914794922,65.07001495361328,19.37747573852539,30.91269302368164,46.13543701171875,,53.7896614074707,406.3255920410156,26.187681198120117,78.54902648925781,62.208492279052734,30.19806480407715,74.9496841430664,82.33223724365234,11.252727508544922,28.92327880859375,123.67459106445312,14.620667457580566,38.903564453125,83.35269165039062,91.70441436767578,29.921499252319336,60.97481155395508,123.06999969482422,39.509300231933594,41.37009811401367,23.12755012512207,56.77790451049805,39.13742446899414
2015-01-05,23.490806579589844,40.34541320800781,35.76217269897461,71.52503967285156,71.9800033569336,43.29338455200195,64.48922729492188,20.992185592651367,2.6600000858306885,113.40481567382812,15.10949993133545,83.86682891845703,98.3556900024414,7.412176132202148,13.642620086669922,42.98999786376953,261.26458740234375,147.0,13.8100004196167,65.26239013671875,91.21150970458984,91.2757339477539,56.49843978881836,112.34255981445312,57.18074035644531,19.14179229736328,9.732158660888672,65.57209777832031,70.71837615966797,34.51493453979492,51.25273895263672,104.45172882080078,61.86066818237305,170.64019775390625,49.639705657958984,115.60462188720703,100.42533111572266,66.42868041992188,25.74471664428711,150.0370635986328,77.12751007080078,72.75767517089844,126.68904113769531,94.65095520019531,82.29042053222656,57.1522216796875,70.51327514648438,75.57933807373047,44.63665008544922,29.3902530670166,102.84664154052734,53.335811614990234,6.707752704620361,77.47248840332031,69.03350067138672,27.914283752441406,53.532752990722656,76.51805877685547,23.22385597229004,38.777469635009766,39.24296569824219,32.94013214111328,19.543298721313477,4.731142997741699,118.90415954589844,13.430000305175781,0.47427475452423096,36.7020263671875,20.621667861938477,66.0823745727539,64.76065063476562,19.162490844726562,30.891347885131836,45.7880859375,,53.53621292114258,408.6139831542969,25.312448501586914,78.31556701660156,60.523834228515625,30.069612503051758,73.62242889404297,81.06206512451172,11.146414756774902,28.59983253479004,121.97567749023438,14.005999565124512,38.2997932434082,81.97977447509766,88.60404205322266,29.200658798217773,59.62888717651367,121.02999877929688,38.42585754394531,40.95439910888672,23.06022834777832,55.224361419677734,38.90247344970703
2015-01-06,23.493009567260742,40.14570236206055,35.35605239868164,71.00911712646484,70.52999877929688,42.27714920043945,63.95458221435547,20.20149803161621,2.630000114440918,109.751220703125,14.76449966430664,83.36409759521484,98.32072448730469,7.243600368499756,13.234435081481934,42.299861907958984,257.20452880859375,146.83999633789062,13.699999809265137,64.84244537353516,90.40933227539062,91.6369857788086,55.63794708251953,113.82705688476562,56.227237701416016,19.13471221923828,9.344320297241211,65.5417709350586,70.12940216064453,34.27904510498047,52.09416198730469,105.87542724609375,60.09791564941406,166.92034912109375,49.08323287963867,115.59779357910156,98.2616958618164,67.0189208984375,25.109352111816406,147.001953125,76.89141082763672,72.58747863769531,126.58891296386719,92.60972595214844,79.76326751708984,57.75444412231445,69.5434799194336,75.20795440673828,43.4792594909668,29.613449096679688,101.52978515625,53.4568977355957,6.595786094665527,77.30500030517578,69.16075134277344,27.72171401977539,53.263511657714844,75.48711395263672,23.3621768951416,40.30077362060547,38.66697311401367,32.05275344848633,19.61920738220215,4.650143146514893,119.55937194824219,13.265999794006348,0.4598954916000366,36.3231315612793,20.308332443237305,65.58179473876953,64.46562194824219,18.926002502441406,30.99812126159668,46.180999755859375,,52.77585983276367,393.1796875,24.385217666625977,78.07910919189453,59.3402214050293,30.430500030517578,72.55728912353516,80.9482192993164,11.163029670715332,28.45939064025879,120.83659362792969,14.085332870483398,37.66690444946289,81.81436157226562,86.77167510986328,28.81355094909668,59.24464797973633,117.36000061035156,37.624107360839844,40.98635482788086,23.237934112548828,54.9307746887207,38.5229377746582
2015-01-07,23.82243537902832,41.76824951171875,35.64271545410156,72.49957275390625,71.11000061035156,42.72174072265625,64.5124740600586,20.392658233642578,2.5799999237060547,113.58423614501953,14.920999526977539,84.31568908691406,99.38269805908203,7.439270973205566,13.29723834991455,41.89290237426758,262.6480407714844,148.8800048828125,14.029999732971191,65.84728240966797,91.6976547241211,93.78657531738281,56.281700134277344,115.80915832519531,55.96184158325195,19.311561584472656,9.46708869934082,65.48716735839844,69.82672882080078,34.48646545410156,52.261207580566406,106.40081024169922,59.71965408325195,167.46807861328125,49.22807312011719,116.4488525390625,98.3025131225586,68.27487182617188,25.035505294799805,149.19265747070312,79.52681732177734,73.11286163330078,128.99169921875,92.00444793701172,80.54446411132812,58.071109771728516,70.2994384765625,76.86823272705078,43.54560089111328,29.98308753967285,102.66783142089844,55.04695129394531,6.629974842071533,78.50751495361328,70.36583709716797,28.592111587524414,54.594722747802734,75.48711395263672,23.791454315185547,41.16264343261719,39.15825653076172,31.301898956298828,19.798786163330078,4.674285888671875,123.34117126464844,13.418000221252441,0.4586973190307617,36.33156204223633,20.921667098999023,67.49947357177734,64.80379486083984,19.320144653320312,31.46788787841797,46.52834701538086,,53.391387939453125,403.9084167480469,24.861831665039062,79.41098022460938,59.33296585083008,30.766916275024414,73.5209732055664,82.48115539550781,11.228111267089844,29.042444229125977,124.45649719238281,14.063332557678223,38.34341812133789,82.64969635009766,87.25100708007812,29.067182540893555,60.03841781616211,120.66000366210938,37.8480224609375,41.01836013793945,23.854488372802734,55.48738098144531,39.318145751953125
2015-01-08,24.737747192382812,42.20509338378906,36.37530517578125,73.60509490966797,72.91999816894531,43.47597885131836,65.99237823486328,21.044309616088867,2.609999895095825,113.17511749267578,15.02299976348877,85.5545654296875,101.6812515258789,7.811046600341797,13.571969032287598,42.413063049316406,265.71551513671875,151.3699951171875,14.59000015258789,66.52220153808594,93.18042755126953,98.56441497802734,56.54304122924805,116.80416870117188,57.59360122680664,19.460113525390625,9.617758750915527,66.9857177734375,70.75110626220703,35.01921081542969,52.47156524658203,111.47676849365234,62.00341033935547,169.46871948242188,50.98893356323242,119.17213439941406,99.48638916015625,70.21027374267578,25.12272834777832,151.57464599609375,81.28627014160156,74.44491577148438,134.54342651367188,94.00416564941406,81.62541961669922,59.22222137451172,71.99470520019531,77.47264862060547,44.51869201660156,30.34575653076172,104.358642578125,56.20921325683594,6.8017706871032715,79.72864532470703,70.6278076171875,28.95413589477539,55.90351867675781,77.49945068359375,24.192110061645508,41.991111755371094,40.310218811035156,32.83285903930664,19.919126510620117,4.7779998779296875,126.20248413085938,13.777999877929688,0.4759523570537567,36.550479888916016,21.20166778564453,68.72623443603516,65.54488372802734,19.707115173339844,31.475008010864258,47.228763580322266,,53.95622253417969,399.4801940917969,25.511754989624023,81.58393859863281,60.05183792114258,30.791391372680664,74.1803970336914,83.88269805908203,11.339821815490723,29.195661544799805,125.75000762939453,14.041333198547363,38.96903610229492,86.5948486328125,90.52149200439453,29.280759811401367,60.84368896484375,123.97000122070312,38.685890197753906,41.49000930786133,24.35796356201172,56.4109001159668,39.92360305786133
2015-01-09,24.7642879486084,41.050594329833984,35.993080139160156,73.52323150634766,71.83999633789062,43.44422912597656,65.51972961425781,21.061689376831055,2.630000114440918,111.78257751464844,14.846500396728516,85.0877456665039,100.15821838378906,7.894583225250244,13.328630447387695,41.203155517578125,262.5652160644531,149.47000122070312,14.649999618530273,65.7273178100586,91.8597183227539,97.54383087158203,56.59402084350586,115.00669860839844,57.17091751098633,19.658180236816406,9.59823226928711,65.65098571777344,70.06395721435547,34.7833366394043,52.5457878112793,109.9937973022461,62.417320251464844,164.9882354736328,50.35623550415039,117.55181121826172,98.09838104248047,70.14849090576172,24.81595230102539,149.24842834472656,79.89240264892578,73.20907592773438,133.56053161621094,94.41358184814453,79.90863800048828,57.87444305419922,71.45255279541016,76.41674041748047,43.744659423828125,30.010984420776367,102.9523696899414,55.151878356933594,6.814591407775879,78.71260070800781,69.76702117919922,28.669145584106445,55.641746520996094,77.06326293945312,24.13488006591797,41.7973518371582,39.97141647338867,32.69634246826172,19.74324607849121,4.704143047332764,126.67520904541016,13.42199993133545,0.47786957025527954,36.53362274169922,20.969999313354492,68.26089477539062,64.93331146240234,19.291492462158203,31.425186157226562,47.10346603393555,,53.89103698730469,407.1974182128906,24.653850555419922,82.13468170166016,58.97714614868164,30.399913787841797,73.54633331298828,82.86656188964844,11.30596923828125,28.833900451660156,125.24803161621094,13.77733325958252,38.990848541259766,85.78428649902344,88.89786529541016,28.67337989807129,59.94178771972656,122.20999908447266,38.05026626586914,41.1942253112793,24.05640983581543,56.3314323425293,39.98686218261719
2015-01-12,24.154069900512695,41.03810119628906,36.29569625854492,73.30210876464844,71.12000274658203,43.007564544677734,65.20206451416016,20.5577392578125,2.630000114440918,112.13431549072266,14.570500373840332,83.88478088378906,99.46653747558594,7.763632774353027,13.093146324157715,40.73392105102539,260.8359375,148.27999877929688,14.579999923706055,65.15739440917969,90.74964904785156,95.9000244140625,55.84192657470703,114.36470794677734,56.74822998046875,19.84209442138672,9.461509704589844,64.23735046386719,69.90034484863281,34.352264404296875,52.595298767089844,109.17180633544922,60.31196975708008,164.9806365966797,49.914119720458984,117.4905014038086,97.89425659179688,69.46219635009766,24.63456153869629,147.43212890625,79.53439331054688,72.85386657714844,132.43194580078125,92.82926177978516,78.77315521240234,58.38999938964844,71.12419128417969,76.15459442138672,43.368682861328125,29.73898696899414,102.72473907470703,54.764469146728516,6.607752323150635,77.7058334350586,69.6173324584961,28.399545669555664,55.69410705566406,76.05213928222656,24.287506103515625,41.62364959716797,39.47165298461914,30.872840881347656,19.69326400756836,4.554714202880859,126.0366439819336,13.637999534606934,0.47187820076942444,36.43259048461914,21.213333129882812,67.9789047241211,64.69587707519531,19.0191593170166,31.745485305786133,47.2913818359375,,53.275516510009766,409.4659729003906,24.411212921142578,81.14100646972656,56.675289154052734,30.406030654907227,72.49810028076172,82.35851287841797,11.336435317993164,28.684951782226562,124.04141235351562,13.480667114257812,38.64167022705078,84.81663513183594,88.11691284179688,28.406408309936523,59.82444381713867,118.30999755859375,37.5952262878418,41.1462516784668,24.23680877685547,55.248836517333984,39.23682403564453
2015-01-13,24.36852264404297,39.856075286865234,35.71131896972656,73.56416320800781,70.58999633789062,42.51532745361328,65.07034301757812,20.27100944519043,2.6600000858306885,111.35909271240234,14.737000465393066,84.23491668701172,98.94255065917969,7.719983100891113,12.912604331970215,40.649322509765625,261.6255187988281,148.6300048828125,14.5,64.76749420166016,90.88739013671875,96.48709869384766,55.53596878051758,113.21719360351562,56.98414611816406,19.87746238708496,9.361063957214355,63.21809387207031,70.2602767944336,34.3034553527832,52.879886627197266,110.40058898925781,60.70451354980469,165.2620849609375,49.89888000488281,116.76202392578125,97.40438079833984,66.71693420410156,24.86948013305664,147.320556640625,79.00885009765625,73.37188720703125,133.6423797607422,93.0488052368164,78.4007339477539,57.962223052978516,71.04017639160156,76.2856674194336,43.376060485839844,29.732004165649414,102.01753234863281,54.772518157958984,6.543648719787598,77.88292694091797,69.48259735107422,28.214683532714844,54.43768310546875,75.78448486328125,24.47829246520996,41.55016326904297,39.268367767333984,30.07323455810547,19.771018981933594,4.625570774078369,126.06151580810547,13.454000473022461,0.47115927934646606,36.146331787109375,20.791667938232422,67.92951965332031,64.96929168701172,18.99049949645996,31.11200714111328,47.31985092163086,,52.841026306152344,402.6899108886719,24.42854881286621,80.55436706542969,56.4792366027832,30.38767433166504,76.8348159790039,82.5337142944336,11.336435317993164,28.582805633544922,123.886962890625,13.616666793823242,38.40161895751953,85.24671936035156,86.46240234375,28.09938621520996,59.99931716918945,120.5999984741211,37.45075988769531,41.17823028564453,24.045644760131836,55.046974182128906,38.68559646606445
2015-01-14,24.275667190551758,40.05097579956055,35.4471435546875,72.70430755615234,69.98999786376953,42.48358154296875,64.88434600830078,20.001659393310547,2.630000114440918,111.3734130859375,14.66349983215332,84.10924530029297,97.7618408203125,7.780944347381592,12.590771675109863,40.56511306762695,259.9488220214844,147.82000732421875,14.5,64.54254150390625,89.00756072998047,97.03803253173828,54.18471145629883,111.78886413574219,56.27638626098633,19.750139236450195,9.388965606689453,63.036102294921875,70.74292755126953,33.76256561279297,53.016014099121094,111.69713592529297,62.74107360839844,166.50201416015625,48.96887969970703,117.6130599975586,97.07781219482422,68.12387084960938,25.074159622192383,143.57643127441406,78.17861938476562,73.03147888183594,134.28858947753906,92.4494857788086,78.32805633544922,59.48444366455078,70.89509582519531,75.73223876953125,41.879573822021484,29.683189392089844,101.27779388427734,54.393165588378906,6.500059127807617,77.79903411865234,68.51705932617188,28.153074264526367,53.67485809326172,75.615966796875,24.673858642578125,41.850807189941406,38.92955017089844,29.302871704101562,19.893211364746094,4.631999969482422,126.15269470214844,13.267999649047852,0.4730764925479889,36.25578689575195,21.049999237060547,68.1551513671875,64.74622344970703,18.6536865234375,31.119112014770508,47.50209045410156,,52.297916412353516,400.5303039550781,23.596637725830078,80.5782699584961,56.92216491699219,30.699636459350586,75.15254211425781,81.68402099609375,11.28227424621582,28.187002182006836,121.82122039794922,12.845999717712402,38.34341812133789,85.46175384521484,86.09900665283203,27.592126846313477,58.79829788208008,120.37999725341797,37.01738357543945,41.41805648803711,23.318696975708008,54.88795852661133,38.88440704345703
2015-01-15,23.616819381713867,39.54168701171875,35.1829719543457,72.20472717285156,70.29000091552734,41.86430358886719,64.85335540771484,20.27100944519043,2.5199999809265137,109.0477523803711,14.34749984741211,83.98355102539062,97.4334716796875,7.625157356262207,11.931402206420898,39.099449157714844,257.4677429199219,147.5800018310547,14.3100004196167,63.74867248535156,88.98328399658203,96.51416778564453,54.09545135498047,111.78886413574219,54.17278289794922,19.389375686645508,9.517313003540039,62.289852142333984,71.33190155029297,33.35994338989258,53.67800521850586,113.62921142578125,61.87582015991211,165.99234008789062,48.83929443359375,118.36199188232422,96.26132202148438,66.84735107421875,24.979007720947266,142.19032287597656,76.93710327148438,71.86227416992188,134.62535095214844,91.71965026855469,77.28343200683594,58.264442443847656,70.38346862792969,74.63267517089844,40.53789138793945,29.557653427124023,101.18024444580078,53.55374526977539,6.553905010223389,76.671142578125,68.39730072021484,28.14536476135254,53.77207565307617,73.4053955078125,25.02682113647461,41.343040466308594,38.52297592163086,28.571514129638672,19.817302703857422,4.625143051147461,126.3185806274414,12.72599983215332,0.4697214365005493,35.89373016357422,20.34666633605957,68.1551513671875,64.65271759033203,18.82567596435547,31.154708862304688,47.160423278808594,,51.68964385986328,393.407470703125,23.11136817932129,80.98831939697266,55.6441535949707,31.072755813598633,74.63688659667969,80.15106201171875,11.258577346801758,27.782695770263672,119.82305145263672,12.791333198547363,38.11064910888672,86.3963623046875,85.66606140136719,27.32514762878418,58.23922348022461,117.77999877929688,36.63457489013672,41.426055908203125,23.526020050048828,54.410888671875,38.80306625366211
